"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"27","Adam","Cracknell","CAN","F",0,0,0,0,0,0,0,"7:33",1,3,-0.22
"51","David","Desharnais","CAN","F",0,0,0,0,0,1,0,"14:24",4,5,-0.01
"96","Joshua","Ho-Sang","CAN","F",0,0,0,0,0,2,0,"9:24",0,0,0.2
"13","Kent","Johnson","CAN","F",0,1,0,1,1,2,0,"12:52",0,0,0.86
"9","Corban","Knight","CAN","F",0,0,0,0,0,4,0,"17:21",5,2,0.73
"11","Jack","McBain","CAN","F",1,1,0,1,2,2,0,"11:18",0,0,1.86
"32","Mason","McTavish","CAN","F",0,1,1,0,1,2,2,"15:24",0,0,0.8
"19","Eric","O'Dell","CAN","F",1,0,0,0,1,1,0,"16:03",5,1,1.54
"12","Eric","Staal","CAN","F",1,1,1,0,2,6,0,"16:35",13,8,3.05
"10","Ben","Street","CAN","F",0,0,0,0,0,2,0,"12:27",8,4,0.64
"15","Adam","Tambellini","CAN","F",2,3,1,2,5,5,0,"15:42",5,2,5.05
"91","Jordan","Weal","CAN","F",2,1,0,1,3,4,0,"15:41",4,0,3.5
"26","Daniel","Winnik","CAN","F",0,0,0,0,0,2,4,"12:49",0,0,-0.4
"44","Mark","Barberio","CAN","D",0,0,0,0,0,4,0,"16:09",0,0,0.4
"60","Jason","Demers","CAN","D",0,1,1,0,1,0,0,"14:41",0,0,0.9
"5","Morgan","Ellis","CAN","D",0,0,0,0,0,0,5,"10:22",0,0,-0.75
"56","Maxim","Noreau","CAN","D",0,3,2,1,3,3,0,"17:09",0,0,2.76
"22","Owen","Power","CAN","D",0,0,0,0,0,2,2,"20:33",0,0,-0.1
"37","Mat","Robinson","CAN","D",0,0,0,0,0,2,0,"16:59",0,0,0.2
"23","Tyler","Wotherspoon","CAN","D",0,0,0,0,0,1,2,"13:30",0,0,-0.2
"80","Edward","Pasquale","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"90","Matt","Tomkins","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"15","Jiang","Fu","CHN","F",0,0,0,0,0,5,2,"25:36",0,1,0.09
"22","Shuai","Fu","CHN","F",0,0,0,0,0,0,2,"21:00",0,0,-0.3
"47","An","Jian","CHN","F",2,0,0,0,2,6,2,"18:34",6,13,1.53
"20","Jia","Luo","CHN","F",0,1,1,0,1,0,0,"22:21",14,15,0.79
"91","Taile","Wang","CHN","F",0,0,0,0,0,5,2,"24:04",5,16,-1.01
"61","Ruike","Wei","CHN","F",0,1,1,0,1,2,0,"15:36",0,0,1.1
"88","Juncheng","Yan","CHN","F",0,0,0,0,0,0,0,"0:00",0,0,0
"18","Jinguang","Ye","CHN","F",0,0,0,0,0,3,4,"26:05",0,0,-0.3
"98","Rudi","Ying","CHN","F",0,0,0,0,0,0,2,"1:10",0,0,-0.3
"56","Zesen","Zhang","CHN","F",0,0,0,0,0,0,2,"5:40",0,0,-0.3
"19","Wei","Zhong","CHN","F",0,0,0,0,0,0,0,"2:28",0,0,0
"6","Zimeng","Chen","CHN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"60","Aoxibofu","Dannisi","CHN","D",0,0,0,0,0,0,0,"19:58",0,0,0
"7","Kailiaosi","Jieke","CHN","D",0,1,0,1,1,1,0,"24:36",0,0,0.76
"2","Jie","Liu","CHN","D",0,0,0,0,0,2,0,"25:49",0,0,0.2
"5","Sipulaoer","Ruian","CHN","D",0,0,0,0,0,4,0,"29:20",0,0,0.4
"81","Ruinan","Yan","CHN","D",0,0,0,0,0,0,0,"0:37",0,0,0
"93","Junjie","Yuan","CHN","D",0,0,0,0,0,0,0,"15:08",0,0,0
"11","Pengfei","Zhang","CHN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"77","Enlai","Zheng","CHN","D",0,0,0,0,0,1,0,"8:47",0,0,0.1
"45","Shimisi","Jieruimi","CHN","G",0,0,0,0,0,0,0,"20:00",0,0,0
"1","Yongli","Ouban","CHN","G",0,0,0,0,0,0,0,"40:00",0,0,0
